data_disponibilizacao;numero_processo;tribunal;tipo_extracao
2025-02-21;08066797220218100040;STJ;geral
2025-02-21;00001019620245140061;TRT14;filtrado
2025-02-21;00005604720245220103;TRT22;filtrado
2025-02-21;10009073920175020047;TRT2;geral
2025-02-21;07020120520228070001;TJDFT;geral
2025-02-21;02820323320238060001;TJCE;geral
2025-02-21;00120803020248173130;TJPE;geral
2025-02-21;30176416520248060001;TJCE;geral
2025-02-21;00107704020188090149;STJ;geral
2025-02-21;00005616020245140004;TRT14;filtrado
2025-02-21;00005613220245220103;TRT22;filtrado
2025-02-21;08263244520238230010;TJRR;geral
2025-02-21;00216093820208140401;STJ;geral
2025-02-21;10007228020245020006;TRT2;geral
2025-02-21;07063112520188070014;TJDFT;geral
2025-02-21;00006593320245140008;TRT14;filtrado
2025-02-21;00002294720245220109;TRT22;filtrado
2025-02-21;00063752220148180140;STJ;geral
2025-02-21;00008265620245140006;TRT14;filtrado
2025-02-21;10128341820214010000;TRF1;geral
2025-02-21;90022222920248230000;TJRR;geral
2025-02-21;08028451120198205001;TJRN;geral
2025-02-21;53178323820248217000;STJ;geral
2025-02-21;07429215520238070001;TJDFT;geral
2025-02-21;00025841220253000000;STJ;geral
2025-02-21;00008284120245140001;TRT14;filtrado
2025-02-21;00006574220245190261;TRT19;filtrado
2025-02-21;00167306220245160006;TRT16;geral
2025-02-21;00004445620245220001;TRT22;filtrado
2025-02-21;00184964220194013300;TRF1;geral
2025-02-21;00462592520253000000;STJ;geral
2025-02-21;10005827720165020442;TRT2;geral
2025-02-21;07278813320238070001;TJDFT;geral
2025-02-21;08152010620248100001;TJMA;geral
2025-02-21;02465890920233000000;STJ;geral
2025-02-21;00008713020245140404;TRT14;filtrado
2025-02-21;00167314720245160006;TRT16;geral
2025-02-21;00006115820245220103;TRT22;filtrado
2025-02-21;08029041820238100060;TJMA;geral
2025-02-21;04861121020243000000;STJ;geral
2025-02-21;00008237920165190059;TRT19;geral
2025-02-21;00284472120218060001;TJCE;geral
2025-02-21;50245820920238240008;STJ;geral
2025-02-21;00006810320245140005;TRT14;filtrado
2025-02-21;50020942220214036128;TRF3;geral
2025-02-21;00004728120245190009;TRT19;filtrado
2025-02-21;00167331720245160006;TRT16;geral
2025-02-21;00008429120245220004;TRT22;filtrado
2025-02-21;07080502820258070001;TJDFT;geral
2025-02-21;00004675720235080120;TRT8;geral
2025-02-21;08033113920258100000;TJMA;geral
2025-02-21;08019833520198140045;TJPA;geral
2025-02-21;01926342020208190001;STJ;geral
2025-02-21;00004506420245140008;TRT14;filtrado
2025-02-21;90022811720248230000;TJRR;geral
2025-02-21;01065115820188172001;TJPE;geral
2025-02-21;80676030220248050000;TJBA;filtrado
2025-02-21;90019174520248230000;TJRR;geral
2025-02-21;00004104020175100105;TRT10;geral
2025-02-21;00000326620178100127;TJMA;geral
2025-02-21;08096322820248150181;TJPB;geral
2025-02-21;08041113720228140008;TJPA;geral
2025-02-21;00001521020245140061;TRT14;filtrado
2025-02-21;00010487420245080205;TRT8;geral
2025-02-21;00446319820253000000;STJ;geral
2025-02-21;70000359620218220006;STJ;geral
2025-02-21;00004102420245140092;TRT14;filtrado
2025-02-21;00331000920065020016;TRT2;geral
2025-02-21;81126596020218050001;TJBA;geral
2025-02-21;00007417420185140008;TRT14;filtrado
2025-02-21;00004886320218060296;TJCE;geral
2025-02-21;08019831720218100032;TJMA;geral
2025-02-21;00244143420253000000;STJ;geral
2025-02-21;00008398820245140092;TRT14;filtrado
2025-02-21;00010685820158060117;TJCE;geral
2025-02-21;00006224320158140049;STJ;geral
2025-02-21;00001447020245210018;TRT21;filtrado
2025-02-21;00022052820198060055;TJCE;geral
2025-02-21;00113002320208130647;STJ;geral
2025-02-21;00001214120225140002;TRT14;filtrado
2025-02-21;00213095620178060158;TJCE;geral
2025-02-21;08396854720248140301;TJPA;geral
2025-02-21;00355203620218260050;STJ;geral
2025-02-21;00003078420245140005;TRT14;filtrado
2025-02-21;00006709120205110006;TRT11;filtrado
2025-02-21;00024142720004013000;TRF1;geral
2025-02-21;90020465020248230000;TJRR;geral
2025-02-21;07092476920228070018;TJDFT;geral
2025-02-21;00307658420158060001;TJCE;geral
2025-02-21;08143551020228140401;STJ;geral
2025-02-21;01620852720228172001;TJPE;geral
2025-02-21;00505115920218060119;TJCE;geral
2025-02-21;00001572020098200100;TJRN;geral
2025-02-21;03109240320243000000;STJ;geral
2025-02-21;00015318620175230026;TRT23;geral
2025-02-21;00687556220168060167;TJCE;geral
2025-02-21;00115250820218172810;TJPE;geral
2025-02-21;01164623920168060001;TJCE;geral
2025-02-21;70018867220238220016;TJRO;filtrado
2025-02-21;00469539120253000000;STJ;geral
2025-02-21;80002661420238050264;TJBA;geral
2025-02-21;01627662820188060001;TJCE;geral
2025-02-21;70183603220248220001;TJRO;filtrado
2025-02-21;00101073220245030171;TST;geral
2025-02-21;52186314620248130000;STJ;geral
2025-02-21;07194156220248070018;TJDFT;geral
2025-02-21;02004143420238060141;TJCE;geral
2025-02-21;70061806320248220007;TJRO;filtrado
2025-02-21;00007522620228160148;STJ;geral
2025-02-21;00165836120235160009;TRT16;filtrado
2025-02-21;02011604120228060300;TJCE;geral
2025-02-21;00001591720245080013;TRT8;geral
2025-02-21;00001497520208100087;TJMA;geral
2025-02-21;90002352120258230000;TJRR;geral
2025-02-21;02016329220248060293;TJCE;geral
2025-02-21;70225573020248220001;TJRO;filtrado
2025-02-21;50511649720238090029;STJ;geral
2025-02-21;50105704020244036000;TRF3;geral
2025-02-21;00014337620175110013;TRT11;filtrado
2025-02-21;03033496620138050001;TJBA;geral
2025-02-21;02023041220228060151;TJCE;geral
2025-02-21;08016527320238100126;TJMA;geral
2025-02-21;02652613120243000000;STJ;geral
2025-02-21;00000220420124013903;TRF1;filtrado
2025-02-21;02024309620248060117;TJCE;geral
2025-02-21;08060296520258150001;TJPB;geral
2025-02-21;70009451820248220007;TJRO;filtrado
2025-02-21;51032373020208130000;STJ;geral
2025-02-21;50005872920218080057;TJES;geral
2025-02-21;00185180320194013300;TRF1;geral
2025-02-21;02032622320238060293;TJCE;geral
2025-02-21;70022578420248220021;TJRO;filtrado
2025-02-21;00205048720215040702;TST;geral
2025-02-21;04083224720243000000;STJ;geral
2025-02-21;07197424520218070007;TJDFT;geral
2025-02-21;00039184420258172990;TJPE;geral
2025-02-21;02038425320238060293;TJCE;geral
2025-02-21;08054197920238190026;TJRJ;geral
2025-02-21;15005917820238260551;STJ;geral
2025-02-21;10005508820235020713;TRT2;geral
2025-02-21;02064154420228060117;TJCE;geral
2025-02-21;08044454220238190026;TJRJ;geral
2025-02-21;08749421120238100001;TJMA;geral
2025-02-21;70062373020238220003;TJRO;filtrado
2025-02-21;00385004020095020261;TRT2;geral
2025-02-21;90013268320248230000;TJRR;geral
2025-02-21;02092144920248060001;TJCE;geral
2025-02-21;15011881720228260637;STJ;geral
2025-02-21;00014313520235110001;TRT11;filtrado
2025-02-21;00160806520225160012;TRT16;filtrado
2025-02-21;02366472820248060001;TJCE;geral
2025-02-21;15006512720228260344;STJ;geral
2025-02-21;00003338420245210006;TRT21;filtrado
2025-02-21;00011257720225140402;TRT14;filtrado
2025-02-21;10014192820165020703;TRT2;geral
2025-02-21;81567905220238050001;TJBA;geral
2025-02-21;02367028120218060001;TJCE;geral
2025-02-21;08031392420238205001;TJRN;geral
2025-02-21;70026670520248220002;TJRO;filtrado
2025-02-21;00081036520253000000;STJ;geral
2025-02-21;81335670720228050001;TJBA;geral
2025-02-21;02752978620208060001;TJCE;geral
2025-02-21;08077509320228100034;TJMA;geral
2025-02-21;08007666720218140018;TJPA;geral
2025-02-21;04427903720243000000;STJ;geral
2025-02-21;02860376920218060001;TJCE;geral
2025-02-21;08005757020218100135;TJMA;geral
2025-02-21;70005858320248220007;TJRO;filtrado
2025-02-21;01000642420243000000;STJ;geral
2025-02-21;00177335920235160015;TRT16;filtrado
2025-02-21;00284432620198080024;TJES;geral
2025-02-21;80010590720218060001;TJCE;geral
2025-02-21;70055338620248220001;TJRO;filtrado
2025-02-21;10008274520215020044;TST;geral
2025-02-21;00403128720253000000;STJ;geral
2025-02-21;00010108720245110008;TRT11;filtrado
2025-02-21;80013105920208060001;TJCE;geral
2025-02-21;10156160420228110015;STJ;geral
2025-02-21;80021901220248060001;TJCE;geral
2025-02-21;08445497920238152001;TJPB;geral
2025-02-21;70226603720248220001;TJRO;filtrado
2025-02-21;00497512520253000000;STJ;geral
2025-02-21;50100468220248080014;TJES;geral
2025-02-21;80755666120248050000;TJBA;filtrado
2025-02-21;00006590920245130025;TRT13;filtrado
2025-02-21;80038890920228060001;TJCE;geral
2025-02-21;00177396620235160015;TRT16;filtrado
2025-02-21;00364493020074013400;TRF1;filtrado
2025-02-21;00069064920098060001;TJCE;geral
2025-02-21;08001384920228140081;TJPA;geral
2025-02-21;15005307420238260631;STJ;geral
2025-02-21;00009494720245110003;TRT11;filtrado
2025-02-21;00007660820195130032;TRT13;filtrado
2025-02-21;08009367920238100018;TJMA;filtrado
2025-02-21;70023230920248220007;TJRO;filtrado
